"Row ID","Order ID","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit,"Order Priority","Shipping Cost","Customer Tenure","Marketing Channel","Product Rating","Return Status","Payment Method","Order Date","Ship Date"
338,CA-2016-162187,"Same Day",NS-18640,"Noel Staavos",corporate,"United States",Columbus,Ohio,43229,East,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",458.43,5,0.3,-137.53,Medium,53.21,Returning,Ads,1,No,"Credit Card",2016-11-12,2016-11-12
346,CA-2017-130386,"Standard Class",NG-18430,"Nathan Gelder",consumer,"United States",Austin,Texas,78745,Central,OFF-PA-10003823,"Office Supplies",Paper,"Xerox 197",223.06,9,0.2,69.71,Medium,23.38,Returning,Email,3,No,"Cash on Delivery",2017-12-11,2017-11-18
356,CA-2016-105459,"Second Class",NP-18700,"Nora Preis",consumer,"United States","New York City","New York",10024,East,FUR-TA-10001095,Furniture,Tables,"Chromcraft Round Conference Tables",209.15,2,0.4,-66.23,Critical,26.15,Returning,Email,4,No,"Net Banking",2016-12-08,2016-08-17
382,US-2015-168935,"Standard Class",DO-13435,"Denny Ordway",consumer,"United States","Pembroke Pines",Florida,33024,South,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.46,3,0.45,-157.01,Medium,45.08,New,Direct,3,Yes,UPI,2015-11-27,2015-02-12
416,CA-2016-131744,"Second Class",SC-20770,"Stewart Carmichael",corporate,"United States",Philadelphia,Pennsylvania,19134,East,OFF-AP-10001394,"Office Supplies",Appliances,"Harmony Air Purifier",453.6,3,0.2,90.72,Low,46.83,Returning,"Social Media",3,No,UPI,2016-06-18,2016-06-20
462,CA-2016-136770,"Standard Class",SP-20650,"Stephanie Phelps",corporate,"United States",Akron,Ohio,44312,East,TEC-PH-10001530,Technology,Phones,"Plantronics Voyager Pro Legend",247.19,2,0.4,-49.44,Medium,30.53,Returning,Direct,4,No,"Credit Card",2016-08-14,2016-08-18
474,CA-2015-113173,"Second Class",DK-13225,"Dean Katz",corporate,"United States",Chicago,Illinois,60653,Central,OFF-ST-10000604,"Office Supplies",Storage,"Home/Office Personal File Carts",250.27,9,0.2,15.64,Low,0.68,Returning,Direct,3,No,"Credit Card",2015-11-15,2015-11-17
479,CA-2015-149734,"Standard Class",JC-16105,"Julie Creighton",corporate,"United States",Durham,"North Carolina",27707,South,OFF-EN-10000927,"Office Supplies",Envelopes,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.98,7,0.2,62.81,Critical,27.38,Returning,Ads,2,No,"Net Banking",2015-03-09,2015-08-09
485,CA-2016-109400,"Standard Class",NR-18550,"Nick Radford",consumer,"United States",Amarillo,Texas,79109,Central,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",366.74,4,0.3,-110.02,High,49.35,New,"Social Media",4,No,"Net Banking",2016-02-05,2016-06-05
520,US-2017-121251,"First Class",GM-14440,"Gary McGarr",consumer,"United States","New York City","New York",10009,East,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",257.57,2,0.2,-28.98,Medium,27.02,Returning,Email,4,No,"Cash on Delivery",2017-03-26,2017-03-27
531,CA-2015-142202,"Second Class",JR-16210,"Justin Ritter",corporate,"United States",Jacksonville,Florida,32216,South,TEC-AC-10003198,Technology,Accessories,"Enermax Acrylux Wireless Keyboard",717.12,9,0.2,152.39,Medium,47.09,Returning,"Social Media",4,No,"Net Banking",2015-09-18,2015-09-23
545,CA-2017-156237,"First Class",PS-18760,"Pamela Stobb",consumer,"United States",Philadelphia,Pennsylvania,19140,East,TEC-MA-10001681,Technology,Machines,"Lexmark MarkNet N8150 Wireless Print Server",241.17,2,0.7,-168.82,Critical,27.22,Returning,"Social Media",2,No,"Net Banking",2017-09-14,2017-09-15
546,US-2016-133879,"Standard Class",KT-16465,"Kean Takahito",consumer,"United States",Chicago,Illinois,60623,Central,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",528.43,5,0.3,0,Medium,77.94,Returning,Email,5,No,"Cash on Delivery",2016-03-21,2016-03-28
568,CA-2016-112277,"Standard Class",SC-20695,"Steve Chapman",corporate,"United States","Fort Lauderdale",Florida,33311,South,TEC-PH-10003505,Technology,Phones,"Geemarc AmpliPOWER60",519.68,7,0.2,58.46,Low,76.17,Returning,"Social Media",5,No,UPI,2016-10-09,2016-09-15
585,CA-2017-146269,"Same Day",MH-17455,"Mark Hamilton",consumer,"United States",Chicago,Illinois,60623,Central,OFF-ST-10003208,"Office Supplies",Storage,"Adjustable Depth Letter/Legal Cart",290.34,2,0.2,32.66,Critical,30.28,Returning,Ads,2,No,"Cash on Delivery",2017-06-10,2017-06-10
604,CA-2016-129280,"First Class",SM-20905,"Susan MacKendrick",consumer,"United States",Newark,Ohio,43055,East,TEC-AC-10002637,Technology,Accessories,"LogitechÂ VX Revolution Cordless Laser Mouse for Notebooks (Black)",431.98,3,0.2,-75.6,Critical,38.11,New,Email,4,No,"Cash on Delivery",2016-03-05,2016-05-05
615,US-2016-148110,"Standard Class",AR-10825,"Anthony Rawles",corporate,"United States",Austin,Texas,78745,Central,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",347.8,7,0.3,-24.84,Medium,35.93,Returning,Ads,4,No,"Net Banking",2016-05-09,2016-11-09
631,CA-2016-112697,"Second Class",AH-10195,"Alan Haines",corporate,"United States",Tamarac,Florida,33319,South,OFF-BI-10000778,"Office Supplies",Binders,"GBC VeloBinder Electric Binding Machine",254.06,7,0.7,-169.37,Medium,17.93,Returning,Ads,3,No,"Cash on Delivery",2016-12-18,2016-12-20
633,US-2016-131611,"Standard Class",EP-13915,"Emily Phan",consumer,"United States",Houston,Texas,77036,Central,FUR-BO-10000780,Furniture,Bookcases,"O'Sullivan Plantations 2-Door Library in Landvery Oak",956.66,7,0.32,-225.1,Medium,55.16,New,"Social Media",2,No,"Cash on Delivery",2016-05-11,2016-09-11
640,CA-2017-152807,"Standard Class",MC-18100,"Mick Crebagga",consumer,"United States",Philadelphia,Pennsylvania,19140,East,TEC-AC-10001142,Technology,Accessories,"First Data FD10 PIN Pad",442.4,7,0.2,-55.3,Low,41.44,New,Ads,5,No,UPI,2017-10-30,2017-03-11
681,CA-2017-168641,"Standard Class",KA-16525,"Kelly Andreada",consumer,"United States","New York City","New York",10035,East,FUR-BO-10000780,Furniture,Bookcases,"O'Sullivan Plantations 2-Door Library in Landvery Oak",321.57,2,0.2,-16.08,Medium,28.01,Returning,Direct,3,No,UPI,2017-11-24,2017-01-12
684,CA-2017-128944,"Second Class",KH-16330,"Katharine Harms",corporate,"United States",Newark,Ohio,43055,East,FUR-CH-10000785,Furniture,Chairs,"Global Ergonomic Managers Chair",760.12,6,0.3,-43.44,Critical,75.5,Returning,Referral,5,No,"Cash on Delivery",2017-06-19,2017-06-21
704,CA-2015-159534,"First Class",DH-13075,"Dave Hallsten",corporate,"United States","New York City","New York",10035,East,OFF-BI-10003656,"Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine",1087.94,8,0.2,353.58,Critical,72.73,Returning,"Social Media",2,No,"Cash on Delivery",2015-03-20,2015-03-23
711,CA-2015-168746,"Second Class",SV-20365,"Seth Vernon",consumer,"United States",Cleveland,Ohio,44105,East,TEC-PH-10000895,Technology,Phones,"Polycom VVX 310 VoIP phone",431.98,4,0.4,-100.79,Low,30.51,Returning,Ads,5,No,UPI,2015-01-27,2015-01-29
732,CA-2015-115938,"Standard Class",SA-20830,"Sue Ann Reed",consumer,"United States",Richmond,Virginia,23223,South,FUR-CH-10003199,Furniture,Chairs,"Office Star - Contemporary Task Swivel Chair",332.94,3,0,79.91,Low,39.24,Returning,Direct,1,Yes,"Net Banking",2015-06-26,2015-06-30
742,CA-2017-108035,"Standard Class",TT-21070,"Ted Trevino",consumer,"United States",Chattanooga,Tennessee,37421,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",390.37,2,0.2,48.8,Medium,24.68,Returning,Referral,4,No,UPI,2017-11-29,2017-03-12
747,CA-2016-130946,"Standard Class",ZC-21910,"Zuschuss Carroll",consumer,"United States",Houston,Texas,77041,Central,OFF-BI-10004995,"Office Supplies",Binders,"GBC DocuBind P400 Electric Binding System",1088.79,4,0.8,-1850.95,Low,127.32,New,Email,2,No,"Net Banking",2016-08-04,2016-12-04
751,CA-2017-116127,"Second Class",SB-20185,"Sarah Brown",consumer,"United States","New York City","New York",10024,East,FUR-BO-10002213,Furniture,Bookcases,"DMI Eclipse Executive Suite Bookcases",400.78,1,0.2,-5.01,Medium,21.31,New,Ads,3,No,UPI,2017-06-25,2017-06-27
772,CA-2017-141572,"Second Class",LO-17170,"Lori Olson",corporate,"United States",Concord,"New Hampshire",3301,East,FUR-FU-10001185,Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",247.44,8,0,101.45,Low,15.51,New,Ads,3,Yes,"Credit Card",2017-05-28,2017-05-31
784,CA-2016-119186,"Same Day",MS-17710,"Maurice Satty",consumer,"United States","Fort Worth",Texas,76106,Central,FUR-CH-10001973,Furniture,Chairs,"Office Star Flex Back Scooter Chair with White Frame",388.43,5,0.3,-88.78,Low,49.25,New,Ads,3,Yes,"Cash on Delivery",2016-05-26,2016-05-26
838,CA-2016-104276,"Standard Class",HF-14995,"Herbert Flentye",consumer,"United States","Fort Lauderdale",Florida,33311,South,FUR-TA-10001039,Furniture,Tables,"KI Adjustable-Height Table",331.02,7,0.45,-114.35,Low,44.99,Returning,Email,4,No,"Net Banking",2016-11-27,2016-03-12
849,CA-2016-159373,"Standard Class",LT-17110,"Liz Thompson",consumer,"United States","San Antonio",Texas,78207,Central,FUR-TA-10004619,Furniture,Tables,"Hon Non-Folding Utility Tables",557.59,5,0.3,0,Low,33.55,New,Email,5,No,"Net Banking",2016-03-13,2016-03-18
851,CA-2015-140025,"Standard Class",PF-19120,"Peter Fuller",consumer,"United States","San Antonio",Texas,78207,Central,TEC-AC-10002402,Technology,Accessories,"Razer Kraken PRO Over Ear PC and Music Headset",383.95,6,0.2,47.99,High,22.71,Returning,Referral,5,No,"Net Banking",2015-07-04,2015-11-04
857,US-2016-114013,"Second Class",SC-20770,"Stewart Carmichael",corporate,"United States",Philadelphia,Pennsylvania,19134,East,TEC-PH-10001494,Technology,Phones,"Polycom CX600 IP Phone VoIP phone",539.91,3,0.4,-116.98,Critical,73.67,Returning,Email,5,No,"Credit Card",2016-03-13,2016-03-15
864,CA-2017-144526,"Standard Class",QJ-19255,"Quincy Jones",corporate,"United States",Philadelphia,Pennsylvania,19143,East,TEC-PH-10002549,Technology,Phones,"Polycom SoundPoint IP 450 VoIP phone",677.58,5,0.4,-158.1,Low,64.72,Returning,Email,3,No,UPI,2017-04-30,2017-06-05
866,CA-2017-106432,"Standard Class",CA-12265,"Christina Anderson",consumer,"United States",Waco,Texas,76706,Central,FUR-BO-10004360,Furniture,Bookcases,"Rush Hierlooms Collection Rich Wood Bookcases",328.4,3,0.32,-91.76,High,44.13,Returning,Ads,1,No,"Credit Card",2017-10-19,2017-10-24
886,US-2017-124779,"First Class",BF-11020,"Barry FranzÃ¶sisch",corporate,"United States",Arlington,Texas,76017,Central,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",213.43,5,0.3,-39.64,High,17.91,Returning,Direct,1,No,UPI,2017-08-09,2017-11-09
937,CA-2016-162236,"Second Class",ER-13855,"Elpida Rittenbach",corporate,"United States",Charlotte,"North Carolina",28205,South,FUR-TA-10002533,Furniture,Tables,"BPI Conference Tables",876.3,10,0.4,-292.1,Low,94.4,Returning,"Social Media",3,No,"Credit Card",2016-04-11,2016-06-11
975,US-2016-128909,"Second Class",SP-20545,"Sibella Parks",corporate,"United States",Philadelphia,Pennsylvania,19143,East,FUR-FU-10004071,Furniture,Furnishings,"Luxo Professional Magnifying Clamp-On Fluorescent Lamps",332.83,4,0.2,-24.96,Medium,0.68,Returning,Ads,5,No,"Net Banking",2016-09-10,2016-11-10
988,US-2016-155103,"Standard Class",JF-15190,"Jamie Frazer",consumer,"United States","New York City","New York",10024,East,OFF-BI-10004318,"Office Supplies",Binders,"Ibico EB-19 Dual Function Manual Binding System",415.18,3,0.2,134.93,High,40.9,Returning,Direct,2,No,"Cash on Delivery",2016-02-12,2016-07-12
1010,CA-2016-130393,"Second Class",JM-15865,"John Murray",consumer,"United States","San Angelo",Texas,76903,Central,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",248.43,5,0.3,-17.75,High,16.37,Returning,Referral,3,No,"Credit Card",2016-01-12,2016-03-12
1034,CA-2017-148810,"Standard Class",DR-12880,"Dan Reichenbach",corporate,"United States",Miami,Florida,33180,South,FUR-CH-10001545,Furniture,Chairs,"Hon Comfortask Task/Swivel Chairs",273.55,3,0.2,-13.68,Low,21.78,New,"Social Media",1,No,UPI,2017-06-26,2017-01-07
1092,CA-2015-131884,"Same Day",DK-13375,"Dennis Kane",consumer,"United States",Marion,Ohio,43302,East,TEC-PH-10001578,Technology,Phones,"Polycom SoundStation2 EX ConferenceÂ phone",485.94,2,0.4,-89.09,High,0.68,Returning,Direct,2,Yes,"Cash on Delivery",2015-06-12,2015-06-12
1127,CA-2016-169103,"Standard Class",ZC-21910,"Zuschuss Carroll",consumer,"United States",Miami,Florida,33142,South,TEC-PH-10001530,Technology,Phones,"Cisco Unified IP Phone 7945G VoIP phone",1363.96,5,0.2,85.25,High,183.1,New,"Social Media",1,No,"Credit Card",2016-08-03,2016-03-13
1132,CA-2016-131093,"Second Class",TS-21610,"Troy Staebel",consumer,"United States",Springfield,Ohio,45503,East,OFF-ST-10002790,"Office Supplies",Storage,"Safco Industrial Shelving",295.4,5,0.2,-62.77,High,34.03,Returning,Email,3,No,"Credit Card",2016-09-17,2016-09-20
1164,CA-2016-124100,"Standard Class",EH-13990,"Erica Hackney",consumer,"United States","New York City","New York",10009,East,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",328,6,0.1,54.67,Medium,30.04,Returning,Direct,3,Yes,"Net Banking",2016-03-31,2016-06-04
1195,CA-2016-149797,"Standard Class",AH-10075,"Adam Hart",corporate,"United States","New York City","New York",10011,East,OFF-BI-10003650,"Office Supplies",Binders,"GBC DocuBind 300 Electric Binding Machine",841.57,2,0.2,294.55,Critical,95.24,New,Referral,1,No,UPI,2016-09-15,2016-09-20
1217,US-2015-138303,"Standard Class",MG-18145,"Mike Gockenbach",consumer,"United States",Philadelphia,Pennsylvania,19134,East,OFF-SU-10002881,"Office Supplies",Supplies,"Martin Yale Chadless Opener Electric Letter Opener",666.25,1,0.2,-149.91,Medium,98.81,Returning,Ads,5,No,"Credit Card",2015-03-09,2015-07-09
1262,US-2015-168704,"Standard Class",FP-14320,"Frank Preis",consumer,"United States",Huntsville,Texas,77340,Central,FUR-TA-10002530,Furniture,Tables,"Iceberg OfficeWorks 42" Round Tables"",211.37,2,0.3,-45.29,Critical,30.94,New,Referral,5,No,"Net Banking",2015-04-13,2015-04-17
1284,CA-2015-104129,"Standard Class",ES-14080,"Erin Smith",corporate,"United States",Providence,"Rhode Island",2908,East,FUR-TA-10004152,Furniture,Tables,"Barricks 18" x 48"" Non-Folding Utility Table with Bottom Storage Shelf"",493.92,7,0.3,-28.22,High,69.5,Returning,Direct,5,No,UPI,2015-02-27,2015-02-03
1297,CA-2015-131338,"First Class",NP-18325,"Naresj Patel",consumer,"United States","New York City","New York",10024,East,FUR-TA-10002607,Furniture,Tables,"KI Conference Tables",382.81,9,0.4,-153.12,Critical,43.73,Returning,"Social Media",3,No,"Net Banking",2015-09-08,2015-12-08
1329,CA-2017-119193,"First Class",SK-19990,"Sally Knutson",consumer,"United States",Toledo,Ohio,43615,East,TEC-PH-10003072,Technology,Phones,"Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System",629.96,7,0.4,94.49,Medium,44,Returning,"Social Media",4,No,"Credit Card",2017-12-22,2017-12-24
1330,CA-2016-168032,"Standard Class",DF-13135,"David Flashing",consumer,"United States",Rockford,Illinois,61107,Central,FUR-TA-10004256,Furniture,Tables,"Bretford Â“Just In TimeÂ” Height-Adjustable Multi-Task Work Tables",626.1,3,0.5,-538.45,Low,64.12,Returning,Direct,3,No,"Cash on Delivery",2016-01-30,2016-03-02
1334,US-2015-126753,"Standard Class",SP-20860,"Sung Pak",corporate,"United States",Philadelphia,Pennsylvania,19134,East,TEC-PH-10003580,Technology,Phones,"Cisco IP Phone 7961G-GE VoIP phone",519.79,4,0.4,-112.62,Low,31.3,Returning,Referral,3,No,"Credit Card",2015-08-16,2015-08-20
1366,CA-2016-153318,"First Class",JS-15595,"Jill Stevenson",corporate,"United States",Miami,Florida,33180,South,TEC-PH-10000984,Technology,Phones,"Panasonic KX-TG9471B",783.96,5,0.2,78.4,Low,62.34,New,Referral,2,No,UPI,2016-10-25,2016-10-28
1368,CA-2017-128363,"Standard Class",DC-12850,"Dan Campbell",consumer,"United States",Memphis,Tennessee,38109,South,OFF-AP-10001563,"Office Supplies",Appliances,"Belkin Premiere Surge Master II 8-outlet surge protector",272.05,7,0.2,30.61,Medium,40.66,New,Ads,4,No,UPI,2017-08-13,2017-08-18
1407,CA-2017-117667,"Standard Class",MS-17980,"Michael Stewart",corporate,"United States",Philadelphia,Pennsylvania,19134,East,FUR-CH-10004540,Furniture,Chairs,"Global Chrome Stack Chair",239.96,10,0.3,-10.28,Critical,18.15,Returning,Direct,2,No,"Cash on Delivery",2017-04-12,2017-09-12
1413,US-2015-161991,"Second Class",SC-20725,"Steven Cartwright",consumer,"United States",Houston,Texas,77070,Central,TEC-PH-10001760,Technology,Phones,"Bose SoundLink Bluetooth Speaker",1114.4,7,0.2,376.11,High,83.3,Returning,Referral,3,No,"Cash on Delivery",2015-09-26,2015-09-28
1418,US-2015-122784,"Standard Class",RA-19915,"Russell Applegate",consumer,"United States","Highland Park",Illinois,60035,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",913.43,5,0.3,-52.2,Low,125.06,Returning,Referral,2,No,"Cash on Delivery",2015-07-20,2015-07-27
1429,CA-2016-130911,"Second Class",DC-12850,"Dan Campbell",consumer,"United States",Cleveland,Ohio,44105,East,FUR-BO-10004357,Furniture,Bookcases,"O'Sullivan Living Dimensions 3-Shelf Bookcases",301.47,3,0.5,-241.18,Critical,28.32,Returning,Email,1,No,"Net Banking",2016-03-24,2016-03-26
1445,US-2015-155369,"Standard Class",PG-18820,"Patrick Gardner",consumer,"United States",Carrollton,Texas,75007,Central,OFF-BI-10003925,"Office Supplies",Binders,"Fellowes PB300 Plastic Comb Binding Machine",310.39,4,0.8,-512.15,High,21.63,Returning,Direct,5,No,"Cash on Delivery",2015-04-19,2015-04-25
1452,CA-2015-169656,"First Class",EJ-13720,"Ed Jacobs",consumer,"United States",Philadelphia,Pennsylvania,19143,East,OFF-ST-10003816,"Office Supplies",Storage,"Fellowes High-Stak Drawer Files",422.86,3,0.2,15.86,Medium,26.26,Returning,Direct,5,No,"Cash on Delivery",2015-08-13,2015-08-16
1459,CA-2016-147417,"First Class",CB-12415,"Christy Brittain",consumer,"United States",Columbus,Ohio,43229,East,TEC-CO-10001449,Technology,Copiers,"Hewlett Packard LaserJet 3310 Copier",1439.98,4,0.4,192,Low,94.83,Returning,Email,4,No,"Cash on Delivery",2016-07-25,2016-07-27
1518,CA-2015-150308,"Standard Class",RR-19525,"Rick Reed",corporate,"United States",Cary,"North Carolina",27511,South,TEC-PH-10001433,Technology,Phones,"Cisco Small Business SPA 502G VoIP phone",246.17,3,0.2,21.54,Low,33.01,New,Referral,5,No,"Net Banking",2015-12-15,2015-12-20
1574,CA-2016-133669,"Standard Class",SV-20935,"Susan Vittorini",consumer,"United States",Columbus,Ohio,43229,East,TEC-PH-10001305,Technology,Phones,"Panasonic KX TS208W Corded phone",235.15,8,0.4,-47.03,Low,0.68,New,Referral,4,No,"Net Banking",2016-10-21,2016-10-27
1579,US-2015-101511,"Second Class",JE-15745,"Joel Eaton",consumer,"United States",Newark,Ohio,43055,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.8,7,0.3,-11.34,Critical,56.32,New,Referral,5,No,"Credit Card",2015-11-21,2015-11-23
1611,CA-2016-133368,"Standard Class",AG-10675,"Anna Gayman",consumer,"United States",Concord,"North Carolina",28027,South,FUR-FU-10003374,Furniture,Furnishings,"Electrix Fluorescent Magnifier Lamps & Weighted Base",315.78,8,0.2,31.58,Critical,21.99,New,Email,1,No,UPI,2016-01-14,2016-01-20
1637,CA-2017-140872,"Standard Class",NR-18550,"Nick Radford",consumer,"United States","Pembroke Pines",Florida,33024,South,FUR-BO-10002824,Furniture,Bookcases,"Bush Mission Pointe Library",241.57,2,0.2,0,Critical,12.25,New,Ads,2,No,"Cash on Delivery",2017-03-06,2017-10-06
1662,CA-2016-116337,"Standard Class",MC-17845,"Michael Chen",consumer,"United States",Dallas,Texas,75220,Central,OFF-ST-10001272,"Office Supplies",Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",314.09,3,0.2,19.63,Low,39.86,New,Ads,3,No,"Cash on Delivery",2016-07-11,2016-12-11
1669,CA-2015-130183,"Standard Class",PO-18850,"Patrick O'Brill",consumer,"United States",Houston,Texas,77041,Central,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",614,3,0.32,-18.06,Medium,34.58,Returning,"Social Media",3,No,UPI,2015-11-13,2015-11-17
1673,CA-2015-126557,"Second Class",RL-19615,"Rob Lucas",consumer,"United States",Chicago,Illinois,60610,Central,TEC-PH-10003963,Technology,Phones,"GE 2-Jack Phone Line Splitter",659.17,4,0.2,49.44,Low,55.6,Returning,Direct,3,No,"Cash on Delivery",2015-12-07,2015-07-17
1676,CA-2015-137064,"Standard Class",TS-21655,"Trudy Schmidt",consumer,"United States",Houston,Texas,77070,Central,OFF-ST-10003470,"Office Supplies",Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",670.75,3,0.2,-125.77,High,79.65,Returning,Referral,5,No,UPI,2015-06-02,2015-02-13
1685,CA-2017-129021,"Second Class",PO-18850,"Patrick O'Brill",consumer,"United States",Tallahassee,Florida,32303,South,TEC-PH-10001459,Technology,Phones,"Samsung Galaxy Mega 6.3",4367.9,13,0.2,327.59,Medium,398.77,New,Ads,3,No,UPI,2017-08-23,2017-08-26
1687,CA-2017-167703,"Standard Class",MC-17575,"Matt Collins",consumer,"United States",Cincinnati,Ohio,45231,East,OFF-ST-10001490,"Office Supplies",Storage,"Hot File 7-Pocket, Floor Stand",285.55,2,0.2,35.69,High,42.35,Returning,Email,5,No,"Cash on Delivery",2017-03-02,2017-08-02
